ix,iy,grid_x,grid_y,dx_sub,dy_sub,peak,second_peak,map_x,map_y,dx_m,dy_m,dx_ref_px,dy_ref_px
9,0,872,288,-27.64621591254265,15.707235089997384,0.8348312973976135,0.6717561483383179,-2837564.16,-1540302.6900000002,-130.49013910720132,74.13814962478764,-65.24506955360066,37.06907481239382
1,6,422,762,-21.925341282324304,17.19433568769935,0.5697079300880432,0.41475096344947815,-2839688.16,-1542539.97,-103.48761085257071,81.15726444594092,-51.743805426285356,40.57863222297046
0,8,358,921,-20.40569892875871,17.136442924487014,0.5689260363578796,0.49044269323349,-2839990.24,-1543290.4500000002,-96.31489894374111,80.8840106035787,-48.15744947187056,40.44200530178935
8,22,739,2029,-13.333453113187295,9.020250388029007,0.6528337597846985,0.4283832609653473,-2838191.92,-1548520.21,-62.93389869424403,42.57558183149691,-31.466949347122014,21.287790915748456
6,33,581,2899,-6.503267420907479,6.4380812912147745,0.5030337572097778,0.4279364049434662,-2838937.68,-1552626.61,-30.6954222266833,30.387743694533732,-15.34771111334165,15.193871847266866
6,41,543,3532,-0.3481660492595977,5.189513335912193,0.5692598819732666,0.4763111472129822,-2839117.04,-1555614.37,-1.6433437525053012,24.49450294550555,-0.8216718762526506,12.247251472752774
8,53,598,4482,5.870585686330612,-1.3579915219199967,0.5191190838813782,0.4590907692909241,-2838857.44,-1560098.37,27.70916443948049,-6.409719983462384,13.854582219740244,-3.204859991731192
9,56,642,4720,10.125568349718526,-3.609983804452999,0.8834360241889954,0.702041506767273,-2838649.76,-1561221.73,47.79268261067144,-17.039123557018154,23.89634130533572,-8.519561778509077
7,63,505,5274,12.491362209407372,-5.2994980265194265,0.46419504284858704,0.3803095519542694,-2839296.4,-1563836.61,58.959229628402795,-25.01363068517169,29.479614814201398,-12.506815342585845
9,64,608,5353,12.967082756795705,-4.1047320306356845,0.4776105582714081,0.4003486633300781,-2838810.24,-1564209.49,61.204630612075725,-19.37433518460043,30.602315306037863,-9.687167592300215
