ix,iy,grid_x,grid_y,dx_sub,dy_sub,peak,second_peak,map_x,map_y,dx_m,dy_m,dx_ref_px,dy_ref_px
0,0,394,288,17.410252107067585,-17.938240294078902,0.4684882164001465,0.4214443862438202,-2839820.32,-1540302.6900000002,82.17638994535899,-84.6684941880524,41.088194972679496,-42.3342470940262
1,0,447,288,-26.300430335084517,-5.8800287279281,0.6283207535743713,0.4993658661842346,-2839570.16,-1540302.6900000002,-124.13803118159892,-27.753735595820633,-62.06901559079946,-13.876867797910316
2,0,500,288,-28.885447373270583,-10.134324401552538,0.47325804829597473,0.18095460534095764,-2839320.0,-1540302.6900000002,-136.33931160183715,-47.83401117532798,-68.16965580091858,-23.91700558766399
5,0,660,288,-2.6233606639474734,-21.583499816784542,0.7310946583747864,0.5917124152183533,-2838564.8,-1540302.6900000002,-12.382262333832074,-101.87411913522303,-6.191131166916037,-50.93705956761151
9,0,872,288,-27.64621591254265,15.707235089997384,0.8348312973976135,0.6717561483383179,-2837564.16,-1540302.6900000002,-130.49013910720132,74.13814962478764,-65.24506955360066,37.06907481239382
11,0,979,288,-16.689942751338997,11.659837338053782,0.676345705986023,0.568712055683136,-2837059.12,-1540302.6900000002,-78.77652978632005,55.03443223561385,-39.38826489316003,27.517216117806925
12,0,1032,288,-17.68581689127814,11.205274954296899,0.7227070927619934,0.6317967176437378,-2836808.96,-1540302.6900000002,-83.47705572683282,52.88889778428136,-41.73852786341641,26.44444889214068
2,1,496,367,-9.667315029550386,26.40664131116281,0.5199722051620483,0.46117904782295227,-2839338.88,-1540675.57,-45.62972693947782,124.63934698868846,-22.81486346973891,62.31967349434423
4,1,603,367,-9.586600494026385,20.620167434710943,0.821730375289917,0.5886332988739014,-2838833.84,-1540675.57,-45.248754331804534,97.32719029183565,-22.624377165902267,48.663595145917824
8,1,817,367,10.207641063763937,7.049374745281999,0.5698111057281494,0.4515324532985687,-2837823.76,-1540675.57,48.18006582096578,33.273048797731036,24.09003291048289,16.636524398865518
10,1,924,367,-3.2011963863379713,21.0900560012784,0.7003562450408936,0.5279086232185364,-2837318.72,-1540675.57,-15.109646943515223,99.54506432603404,-7.5548234717576115,49.77253216301702
0,2,385,446,-24.60557753262402,-10.067079101261927,0.4935320317745209,0.34302452206611633,-2839862.8,-1541048.4500000002,-116.13832595398537,-47.51661335795629,-58.069162976992686,-23.758306678978144
