# Local planar approximation about anchor (-89.72070, 223.12570). Lunar radius 1737400 m. CAUTION: At extreme polar latitude -89.72S, cos(lat) ~ 0.00487 compresses longitudinal degree width to ~147.8 m/deg; planar approximation degrades near pole. For rigorous cartographic positioning, use Lunar Polar Stereographic (EPSG/IAU2000:30120). Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
53,76.17,451.17,79.64,453.88,41.0038,0,-89.7191542,220.3731372,-89.7191486,220.2250193,0.0000
54,130.86,423.83,136.11,475.03,16.6159,0,-89.7182885,220.7283066,-89.7198602,220.6147338,0.0000
55,169.92,423.83,171.37,485.46,26.8597,0,-89.7182885,220.9819990,-89.7202109,220.8580084,0.0000
56,201.17,423.83,194.20,455.41,2.3973,1,-89.7182885,221.1849529,-89.7192000,221.0155462,0.8402
57,205.08,423.83,234.16,455.18,34.3602,0,-89.7182885,221.2103222,-89.7191922,221.2912855,0.0000
58,259.77,431.64,264.68,460.06,9.2459,1,-89.7185358,221.5654916,-89.7193565,221.5018591,0.3836
59,267.58,431.64,268.17,472.32,13.4151,1,-89.7185358,221.6162301,-89.7197691,221.5259773,0.1057
60,298.83,423.83,302.21,486.15,37.4712,0,-89.7182885,221.8191840,-89.7202341,221.7608661,0.0000
61,513.67,451.17,517.45,455.05,7.5056,1,-89.7191542,223.2144923,-89.7191881,223.2461261,0.4996
62,544.92,451.17,548.08,453.80,6.1218,1,-89.7191542,223.4174463,-89.7191459,223.4574726,0.5919
63,576.17,423.83,589.11,454.93,31.1977,0,-89.7182885,223.6204002,-89.7191838,223.7405651,0.0000
64,580.08,423.83,632.00,446.57,58.1192,0,-89.7182885,223.6457695,-89.7189027,224.0365489,0.0000
65,638.67,439.45,642.59,446.25,9.0342,1,-89.7187832,224.0263081,-89.7188921,224.1096301,0.3977
66,794.92,423.83,850.00,451.17,69.5258,0,-89.7182885,225.0410778,-89.7190575,225.5408624,0.0000
67,802.73,423.83,880.35,486.04,109.4831,0,-89.7182885,225.0918163,-89.7202303,225.7502630,0.0000
68,76.17,482.42,76.10,546.78,21.1776,0,-89.7201435,220.3731372,-89.7222736,220.2005739,0.0000
69,138.67,482.42,134.89,495.97,25.0086,0,-89.7201435,220.7790451,-89.7205644,220.6062939,0.0000
70,154.30,482.42,169.14,517.21,16.0397,0,-89.7201435,220.8805220,-89.7212790,220.8426266,0.0000
71,205.08,470.70,222.06,494.70,20.7705,0,-89.7197725,221.2103222,-89.7205217,221.2077758,0.0000
72,251.95,482.42,265.28,506.02,15.0717,0,-89.7201435,221.5147531,-89.7209025,221.5060615,0.0000
73,291.02,482.42,267.65,506.14,23.3151,0,-89.7201435,221.7684455,-89.7209066,221.5223883,0.0000
74,306.64,470.70,299.42,516.41,21.2217,0,-89.7197725,221.8699225,-89.7212519,221.7416104,0.0000
75,482.42,482.42,480.73,485.69,9.0093,1,-89.7201435,223.0115384,-89.7202188,222.9927426,0.3994
76,513.67,466.80,486.27,486.00,28.9283,0,-89.7196488,223.2144923,-89.7202290,223.0309515,0.0000
77,521.48,466.80,548.66,486.08,29.2492,0,-89.7196488,223.2652308,-89.7202317,223.4615006,0.0000
78,580.08,455.08,593.19,470.13,17.5494,0,-89.7192778,223.6457695,-89.7196954,223.7687380,0.0000
79,611.33,482.42,643.03,485.17,30.1315,0,-89.7201435,223.8487234,-89.7202011,224.1126676,0.0000
80,76.17,486.33,77.25,580.02,50.4863,0,-89.7202672,220.3731372,-89.7233915,220.2085091,0.0000
81,173.83,501.95,189.59,488.54,51.5025,0,-89.7207618,221.0073683,-89.7203147,220.9837609,0.0000
82,248.05,513.67,263.27,531.27,18.2877,0,-89.7211328,221.4893839,-89.7217518,221.4921307,0.0000
83,267.58,513.67,269.14,531.58,10.7517,1,-89.7211328,221.6162301,-89.7217624,221.5326956,0.2832
84,298.83,486.33,299.09,547.68,35.2603,0,-89.7202672,221.8191840,-89.7223037,221.7393607,0.0000
85,330.08,486.33,333.05,545.19,35.2837,0,-89.7202672,222.0221380,-89.7222201,221.9736464,0.0000
86,431.64,501.95,433.74,515.89,1.9990,1,-89.7207618,222.6817383,-89.7212347,222.6684624,0.8667
87,482.42,498.05,480.84,486.35,23.9754,0,-89.7206382,223.0115384,-89.7202409,222.9935211,0.0000
88,513.67,501.95,485.94,486.43,39.3390,0,-89.7207618,223.2144923,-89.7202437,223.0286953,0.0000
89,544.92,513.67,548.44,482.43,38.5132,0,-89.7211328,223.4174463,-89.7201091,223.4599608,0.0000
90,556.64,513.67,558.29,482.67,37.4291,0,-89.7211328,223.4935540,-89.7201171,223.5279489,0.0000
91,607.42,513.67,604.88,509.01,9.6435,1,-89.7211328,223.8233542,-89.7210032,223.8494188,0.3571
92,611.33,513.67,611.33,507.57,9.1713,1,-89.7211328,223.8487234,-89.7209546,223.8939212,0.3886
93,642.58,486.33,643.05,487.20,2.0341,1,-89.7202672,224.0516774,-89.7202694,224.1128276,0.8644
94,794.92,513.67,761.34,531.31,48.6684,0,-89.7211328,225.0410778,-89.7217532,224.9290916,0.0000
95,904.30,490.23,905.09,578.45,108.8181,0,-89.7203908,225.7514166,-89.7233390,225.9209717,0.0000
96,169.92,544.92,142.69,542.23,49.9348,0,-89.7221222,220.9819990,-89.7221205,220.6601222,0.0000
97,185.55,544.92,189.46,525.54,54.5296,0,-89.7221222,221.0834760,-89.7215592,220.9828686,0.0000
98,232.42,525.39,228.97,548.72,10.1957,1,-89.7215038,221.3879069,-89.7223389,221.2554559,0.3203
99,255.86,533.20,262.19,566.04,4.2655,1,-89.7217512,221.5401223,-89.7229215,221.4846884,0.7156
100,267.58,533.20,295.22,577.05,28.4275,0,-89.7217512,221.6162301,-89.7232916,221.7126264,0.0000
101,298.83,544.92,299.49,576.74,6.6988,1,-89.7221222,221.8191840,-89.7232814,221.7420758,0.5534
102,330.08,541.02,333.58,574.76,9.8091,1,-89.7219985,222.0221380,-89.7232149,221.9773491,0.3461
103,435.55,517.58,453.45,548.04,20.7507,0,-89.7212565,222.7071075,-89.7223159,222.8044944,0.0000
104,482.42,517.58,484.23,517.68,12.1376,1,-89.7212565,223.0115384,-89.7212948,223.0169093,0.1908
105,513.67,544.92,515.59,537.14,18.0792,0,-89.7221222,223.2144923,-89.7219492,223.2332636,0.0000
106,544.92,544.92,548.78,529.57,22.9072,0,-89.7221222,223.4174463,-89.7216947,223.4623013,0.0000
107,564.45,544.92,556.11,530.00,25.3968,0,-89.7221222,223.5442925,-89.7217091,223.5128866,0.0000
108,580.08,541.02,603.63,537.03,19.6667,0,-89.7219985,223.6457695,-89.7219456,223.8408055,0.0000
109,611.33,521.48,645.29,548.62,38.5291,0,-89.7213802,223.8487234,-89.7223354,224.1282930,0.0000
110,763.67,544.92,716.54,552.99,57.1285,0,-89.7221222,224.8381239,-89.7224826,224.6199510,0.0000
111,794.92,537.11,732.51,579.99,88.2728,0,-89.7218748,225.0410778,-89.7233908,224.7301322,0.0000
112,48.83,576.17,76.69,583.61,44.4017,0,-89.7231115,220.1955525,-89.7235125,220.2046867,0.0000
113,107.42,548.83,109.10,597.98,8.2484,1,-89.7222458,220.5760911,-89.7239959,220.4282904,0.4501
114,263.67,568.36,263.37,604.63,9.5808,1,-89.7228642,221.5908608,-89.7242197,221.4928819,0.3613
115,271.48,576.17,268.11,601.69,10.7372,1,-89.7231115,221.6415993,-89.7241207,221.5255416,0.2842
116,423.83,576.17,453.65,549.82,48.6203,0,-89.7231115,222.6309998,-89.7223757,222.8058552,0.0000
117,482.42,564.45,470.71,563.71,22.9949,0,-89.7227405,223.0115384,-89.7228429,222.9236121,0.0000
118,513.67,572.27,516.13,578.99,6.4065,1,-89.7229878,223.2144923,-89.7233569,223.2369897,0.5729
119,544.92,556.64,543.65,558.63,9.8862,1,-89.7224932,223.4174463,-89.7226723,223.4268940,0.3409
120,580.08,548.83,592.82,573.87,21.2097,0,-89.7222458,223.6457695,-89.7231848,223.7662084,0.0000
121,611.33,548.83,645.53,549.38,27.5667,0,-89.7222458,223.8487234,-89.7223611,224.1299473,0.0000
122,763.67,556.64,719.61,584.31,64.0161,0,-89.7224932,224.8381239,-89.7235361,224.6410751,0.0000
123,56.64,607.42,79.98,655.62,15.5181,0,-89.7241008,220.2462910,-89.7259346,220.2273784,0.0000
124,107.42,599.61,95.94,658.64,26.0324,0,-89.7238535,220.5760911,-89.7260362,220.3375396,0.0000
125,115.23,595.70,120.85,640.66,4.5061,1,-89.7237298,220.6268296,-89.7254313,220.5093715,0.6996
126,142.58,595.70,169.06,612.03,29.2799,0,-89.7237298,220.8044143,-89.7244685,220.8420709,0.0000
127,232.42,607.42,229.14,670.12,33.1896,0,-89.7241008,221.3879069,-89.7264226,221.2566712,0.0000
128,298.83,603.52,267.75,638.35,41.0196,0,-89.7239772,221.8191840,-89.7253536,221.5230879,0.0000
129,361.33,587.89,331.58,614.85,38.3831,0,-89.7234825,222.2250919,-89.7245631,221.9635080,0.0000
130,513.67,580.08,516.53,582.72,9.3533,1,-89.7232352,223.2144923,-89.7234824,223.2397724,0.3764
131,576.17,607.42,573.18,597.24,20.9494,0,-89.7241008,223.6204002,-89.7239709,223.6306952,0.0000
132,587.89,607.42,581.47,595.73,23.8409,0,-89.7241008,223.6965080,-89.7239202,223.6878550,0.0000
133,611.33,607.42,644.37,611.33,21.8579,0,-89.7241008,223.8487234,-89.7244448,224.1218912,0.0000
134,642.58,591.80,675.33,610.94,29.4625,0,-89.7236062,224.0516774,-89.7244316,224.3355393,0.0000
135,60.55,615.23,66.56,690.54,30.2357,0,-89.7243482,220.2716602,-89.7271092,220.1347569,0.0000
136,111.33,623.05,108.36,673.78,15.6907,1,-89.7245955,220.6014604,-89.7265455,220.4232099,0.0000
137,169.92,619.14,139.89,704.85,62.9838,0,-89.7244718,220.9819990,-89.7275908,220.6407521,0.0000
138,330.08,611.33,298.85,665.04,50.5281,0,-89.7242245,222.0221380,-89.7262516,221.7376858,0.0000
139,423.83,611.33,437.12,626.10,3.7110,1,-89.7242245,222.6309998,-89.7249417,222.6917895,0.7526
140,482.42,638.67,486.03,642.46,12.9392,1,-89.7250902,223.0115384,-89.7254921,223.0292801,0.1374
141,880.86,623.05,885.42,624.32,21.4407,0,-89.7245955,225.5992011,-89.7248820,225.7852310,0.0000
142,158.20,662.11,144.45,735.26,44.1500,0,-89.7258322,220.9058913,-89.7286136,220.6722544,0.0000
143,201.17,654.30,199.78,736.06,49.1988,0,-89.7255848,221.1849529,-89.7286405,221.0540497,0.0000
144,337.89,669.92,298.85,671.19,58.1944,0,-89.7260795,222.0728764,-89.7264583,221.7376927,0.0000
145,451.17,669.92,438.16,654.21,41.9366,0,-89.7260795,222.8085845,-89.7258873,222.6989656,0.0000
146,482.42,669.92,484.81,651.58,33.8835,0,-89.7260795,223.0115384,-89.7257986,223.0208611,0.0000
147,892.58,642.58,892.58,623.12,15.5330,1,-89.7252138,225.6753089,-89.7248414,225.8346653,0.0000
148,76.17,681.64,80.06,736.22,14.3049,1,-89.7264505,220.3731372,-89.7286457,220.2279351,0.0463
149,333.98,681.64,298.84,705.15,50.5116,0,-89.7264505,222.0475072,-89.7276009,221.7376331,0.0000
150,451.17,677.73,419.92,701.06,47.6332,0,-89.7263269,222.8085845,-89.7274631,222.5731264,0.0000
151,482.42,673.83,479.05,700.66,23.4820,0,-89.7262032,223.0115384,-89.7274497,222.9811063,0.0000
152,611.33,701.17,644.26,734.60,33.5080,0,-89.7270689,223.8487234,-89.7285914,224.1211895,0.0000
153,861.33,673.83,877.34,658.41,1.9111,1,-89.7262032,225.4723549,-89.7260285,225.7294800,0.8726
154,48.83,720.70,79.93,760.91,15.7429,0,-89.7276872,220.1955525,-89.7294764,220.2270428,0.0000
155,107.42,720.70,110.95,736.36,29.7840,0,-89.7276872,220.5760911,-89.7286505,220.4410535,0.0000
156,298.83,728.52,267.60,765.58,50.9124,0,-89.7279345,221.8191840,-89.7296336,221.5220735,0.0000
157,330.08,705.08,300.26,766.74,59.6238,0,-89.7271925,222.0221380,-89.7296724,221.7474287,0.0000
158,451.17,720.70,445.92,733.67,24.4403,0,-89.7276872,222.8085845,-89.7285601,222.7525177,0.0000
159,580.08,732.42,625.69,735.40,25.1029,0,-89.7280582,223.6457695,-89.7286182,223.9930328,0.0000
160,830.08,705.08,830.08,714.39,30.4164,0,-89.7271925,225.2694010,-89.7279117,225.4033924,0.0000
161,888.67,732.42,877.14,676.91,50.6117,0,-89.7280582,225.6499396,-89.7266509,225.7281247,0.0000
