# Local planar approximation about anchor (-70.85000, 32.26000). Lunar radius 1737400 m. Valid only within this crop. Not geodetic coordinates.
match_id,src_x,src_y,ref_x,ref_y,residual_px,is_inlier,src_lat,src_lon,ref_lat,ref_lon,confidence
0,750.11,49.11,388.10,584.65,52.5655,0,-70.7313462,32.6209004,-70.9124592,32.2477327,0.0000
1,399.83,790.09,343.42,630.01,286.0576,0,-70.9819118,32.2598268,-70.9278012,32.2016614,0.0000
2,88.96,768.24,341.69,434.91,319.7777,0,-70.9745232,31.9393685,-70.8618070,32.1998709,0.0000
3,411.44,9.05,736.76,215.44,413.4299,0,-70.7177973,32.2717900,-70.7875730,32.6072437,0.0000
4,54.99,76.92,762.35,450.59,512.9849,0,-70.7407474,31.9043513,-70.8671114,32.6336307,0.0000
5,753.85,358.04,75.74,316.64,359.5437,0,-70.8358112,32.6247564,-70.8218025,31.9256451,0.0000
6,616.18,247.33,96.01,502.78,221.3989,0,-70.7983732,32.4828493,-70.8847655,31.9465496,0.0000
7,514.86,493.02,170.40,57.16,476.3019,0,-70.8814547,32.3783968,-70.7340313,32.0232548,0.0000
8,703.94,635.61,550.03,536.39,376.6882,0,-70.9296715,32.5733083,-70.8961338,32.4147054,0.0000
9,329.60,521.20,479.82,366.57,335.3502,0,-70.8909835,32.1874273,-70.8386916,32.3423064,0.0000
10,492.69,129.93,426.70,29.72,436.6578,0,-70.7586739,32.3555502,-70.7247506,32.2875334,0.0000
11,580.89,141.21,69.97,230.38,383.7388,0,-70.7624899,32.4464634,-70.7926256,31.9197010,0.0000
12,531.72,292.43,52.29,473.53,233.1001,0,-70.8136250,32.3957823,-70.8748706,31.9014644,0.0000
13,29.80,480.56,140.29,634.38,288.9437,0,-70.8772424,31.8783826,-70.9292811,31.9922008,0.0000
14,749.29,27.57,336.03,593.69,105.2493,0,-70.7240614,32.6200617,-70.9155177,32.1940350,0.0000
