# Stage O tie points: Chandrayaan-2 TMC-2 (source) to LROC NAC DTM orthophoto (reference), Pitiscus.
# tmc_scan/tmc_pixel: 0-based line/sample in ch2_tmc_ncn_20230130T1900132182_d_img_d32.img (via ISRO geometry CSV).
# nac_col/nac_row: 0-based pixel-centre index in NAC_DTM_PITISCUS_M1149280834_2M.TIF.
# map_x/map_y: metres, equirectangular Moon sphere R=1737400, std parallel -51, CM 180 (NAC CRS). lon/lat in degrees.
# Residuals in common-grid px (1 px = 4.72 m). heldout_residual_px: spatial-block 5-fold, model never saw the node.
# Reference error: lola_rms 0.92 m. These are relative residuals, not ground-truth errors.
id,tmc_scan,tmc_pixel,grid_src_x,grid_src_y,grid_ref_x,grid_ref_y,map_x,map_y,lon,lat,nac_col,nac_row,ncc_peak,ncc_second,fit_residual_px,is_inlier,spatial_fold,heldout_residual_px
31,245933.846,477.942,944,80,1050.7901,879.0929,-2836720.271,-1543092.648,31.34910668,-50.88793378,2479.365,2877.824,0.7297,0.4993,0.1198,1,0,0.6435
32,245932.997,429.927,992,80,1101.0442,878.9348,-2836483.071,-1543091.902,31.36153648,-50.88790918,2597.964,2877.451,0.6993,0.3791,0.2575,1,0,0.6980
33,245932.143,381.912,1040,80,1151.4121,878.7939,-2836245.335,-1543091.237,31.37399444,-50.88788724,2716.833,2877.119,0.6914,0.3528,0.5376,1,0,0.8991
34,245931.280,333.900,1088,80,1200.9929,878.8449,-2836011.314,-1543091.478,31.38625771,-50.88789519,2833.843,2877.239,0.6542,0.3168,0.1577,1,0,0.4284
35,245900.021,1151.157,272,128,350.0394,928.5594,-2840027.814,-1543326.130,31.17578353,-50.89563353,825.593,2994.565,0.6525,0.2688,3.1508,0,0,5.3856
36,245899.278,1103.132,320,128,399.0307,928.2028,-2839796.575,-1543324.447,31.18790101,-50.89557802,941.212,2993.724,0.7071,0.3454,1.7245,0,0,3.7903
37,245898.522,1055.109,368,128,449.2179,928.0406,-2839559.691,-1543323.682,31.20031428,-50.89555277,1059.654,2993.341,0.6515,0.3717,1.5269,0,0,3.4267
38,245897.764,1007.086,416,128,499.0503,928.0612,-2839324.482,-1543323.779,31.21263979,-50.89555597,1177.259,2993.389,0.6741,0.3305,0.9804,1,0,2.7326
39,245896.994,959.064,464,128,549.8298,928.1422,-2839084.804,-1543324.161,31.22519953,-50.89556859,1297.098,2993.581,0.8078,0.5934,1.4092,1,0,3.0197
40,245896.222,911.043,512,128,599.1877,927.9040,-2838851.834,-1543323.037,31.23740768,-50.89553151,1413.583,2993.019,0.7759,0.4603,0.4461,1,0,1.9077
41,245895.438,863.025,560,128,649.6053,928.1333,-2838613.863,-1543324.119,31.24987793,-50.89556720,1532.568,2993.560,0.7136,0.6256,0.6042,1,0,1.9130
42,245894.651,815.006,608,128,699.7477,927.8048,-2838377.191,-1543322.569,31.26228011,-50.89551606,1650.905,2992.784,0.6912,0.5958,0.4155,1,0,1.6225
43,245893.854,766.990,656,128,750.0906,927.7420,-2838139.573,-1543322.272,31.27473188,-50.89550630,1769.714,2992.636,0.6538,0.3016,0.5019,1,0,1.5872
